date,ff_rate
7/7/1954,1
7/14/1954,1.22
7/21/1954,0.57
7/28/1954,0.63
8/4/1954,0.27
8/11/1954,1.31
8/18/1954,1.41
8/25/1954,1.41
9/1/1954,1.33
9/8/1954,1.22
9/15/1954,1.23
9/22/1954,0.55
9/29/1954,1.15
10/6/1954,0.55
10/13/1954,1.27
10/20/1954,0.77
10/27/1954,0.75
11/3/1954,1.18
11/10/1954,0.32
11/17/1954,0.39
11/24/1954,1.07
12/1/1954,1.4
12/8/1954,1.42
12/15/1954,1.28
12/22/1954,1.18
12/29/1954,1.19
1/5/1955,1.35
1/12/1955,1.41
1/19/1955,1.37
1/26/1955,1.41
2/2/1955,1.44
2/9/1955,1.27
2/16/1955,1.13
2/23/1955,1.32
3/2/1955,1.38
3/9/1955,1.41
3/16/1955,1.24
3/23/1955,1.31
3/30/1955,1.44
4/6/1955,1.44
4/13/1955,1.44
4/20/1955,1.4
4/27/1955,1.34
5/4/1955,1.66
5/11/1955,1.3
5/18/1955,1.32
5/25/1955,1.31
6/1/1955,1.69
6/8/1955,1.67
6/15/1955,1.69
6/22/1955,1.55
6/29/1955,1.66
7/6/1955,1.69
7/13/1955,1.69
7/20/1955,1.65
7/27/1955,1.67
8/3/1955,1.72
8/10/1955,1.97
8/17/1955,1.97
8/24/1955,1.99
8/31/1955,2
9/7/1955,2.07
9/14/1955,2.19
9/21/1955,2.2
9/28/1955,2.24
10/5/1955,2.22
10/12/1955,2.25
10/19/1955,2.23
10/26/1955,2.25
11/2/1955,2.25
11/9/1955,2.25
11/16/1955,2.24
11/23/1955,2.46
11/30/1955,2.49
12/7/1955,2.5
12/14/1955,2.46
12/21/1955,2.48
12/28/1955,2.48
1/4/1956,2.31
1/11/1956,2.48
1/18/1956,2.5
1/25/1956,2.5
2/1/1956,2.5
2/8/1956,2.5
2/15/1956,2.5
2/22/1956,2.48
2/29/1956,2.5
3/7/1956,2.5
3/14/1956,2.49
3/21/1956,2.5
3/28/1956,2.5
4/4/1956,2.5
4/11/1956,2.5
4/18/1956,2.6
4/25/1956,2.75
5/2/1956,2.75
5/9/1956,2.75
5/16/1956,2.75
5/23/1956,2.75
5/30/1956,2.75
6/6/1956,2.71
6/13/1956,2.75
6/20/1956,2.75
6/27/1956,2.61
7/4/1956,2.75
7/11/1956,2.75
7/18/1956,2.75
7/25/1956,2.74
8/1/1956,2.73
8/8/1956,2.75
8/15/1956,2.75
8/22/1956,2.74
8/29/1956,2.63
9/5/1956,3
9/12/1956,2.93
9/19/1956,2.86
9/26/1956,3
10/3/1956,3
10/10/1956,2.98
10/17/1956,2.92
10/24/1956,2.95
10/31/1956,2.99
11/7/1956,3
11/14/1956,2.98
11/21/1956,2.97
11/28/1956,2.59
12/5/1956,2.95
12/12/1956,2.79
12/19/1956,2.96
12/26/1956,2.99
1/2/1957,2.71
1/9/1957,2.82
1/16/1957,2.87
1/23/1957,2.9
1/30/1957,3
2/6/1957,3
2/13/1957,3
2/20/1957,3
2/27/1957,3
3/6/1957,3
3/13/1957,3
3/20/1957,3
3/27/1957,2.86
4/3/1957,2.97
4/10/1957,3
4/17/1957,3
4/24/1957,3
5/1/1957,3
5/8/1957,3
5/15/1957,3
5/22/1957,3
5/29/1957,3
6/5/1957,3
6/12/1957,3
6/19/1957,3
6/26/1957,3
7/3/1957,3
7/10/1957,3
7/17/1957,3
7/24/1957,2.98
7/31/1957,2.97
8/7/1957,3
8/14/1957,3.09
8/21/1957,3.29
8/28/1957,3.48
9/4/1957,3.36
9/11/1957,3.5
9/18/1957,3.5
9/25/1957,3.5
10/2/1957,3.5
10/9/1957,3.5
10/16/1957,3.5
10/23/1957,3.5
10/30/1957,3.5
11/6/1957,3.5
11/13/1957,3.46
11/20/1957,3.29
11/27/1957,3
12/4/1957,2.93
12/11/1957,3
12/18/1957,3
12/25/1957,3
1/1/1958,3
1/8/1958,2.98
1/15/1958,2.88
1/22/1958,3
1/29/1958,2.29
2/5/1958,1.5
2/12/1958,2.64
2/19/1958,2.11
2/26/1958,0.73
3/5/1958,1.11
3/12/1958,1.36
3/19/1958,1.45
3/26/1958,1.07
4/2/1958,0.55
4/9/1958,1.07
4/16/1958,1.75
4/23/1958,1.29
4/30/1958,1.25
5/7/1958,1.11
5/14/1958,0.95
5/21/1958,0.47
5/28/1958,0.2
6/4/1958,0.32
6/11/1958,1.39
6/18/1958,1.36
6/25/1958,0.61
7/2/1958,0.43
7/9/1958,0.77
7/16/1958,1.32
7/23/1958,0.45
7/30/1958,0.36
8/6/1958,0.91
8/13/1958,1.63
8/20/1958,1.61
8/27/1958,1.68
9/3/1958,1.68
9/10/1958,1.68
9/17/1958,1.63
9/24/1958,1.91
10/1/1958,1.79
10/8/1958,1.93
10/15/1958,1.96
10/22/1958,1.98
10/29/1958,1.47
11/5/1958,1.93
11/12/1958,2
11/19/1958,2.46
11/26/1958,2.39
12/3/1958,2.3
12/10/1958,2.39
12/17/1958,2.5
12/24/1958,2.5
12/31/1958,2.47
1/7/1959,2.48
1/14/1959,2.45
1/21/1959,2.5
1/28/1959,2.5
2/4/1959,2.5
2/11/1959,2.36
2/18/1959,2.36
2/25/1959,2.5
3/4/1959,2.46
3/11/1959,2.71
3/18/1959,2.86
3/25/1959,2.93
4/1/1959,2.84
4/8/1959,3
4/15/1959,3
4/22/1959,3
4/29/1959,2.93
5/6/1959,3
5/13/1959,3
5/20/1959,2.61
5/27/1959,2.82
6/3/1959,3.11
6/10/1959,3.36
6/17/1959,3.5
6/24/1959,3.46
7/1/1959,3.32
7/8/1959,3.5
7/15/1959,3.46
7/22/1959,3.5
7/29/1959,3.5
8/5/1959,3.5
8/12/1959,3.5
8/19/1959,3.5
8/26/1959,3.5
9/2/1959,3.5
9/9/1959,3.46
9/16/1959,3.82
9/23/1959,3.96
9/30/1959,3.86
10/7/1959,4
10/14/1959,3.96
10/21/1959,3.96
10/28/1959,4
11/4/1959,4
11/11/1959,4
11/18/1959,4
11/25/1959,4
12/2/1959,3.96
12/9/1959,4
12/16/1959,4
12/23/1959,4
12/30/1959,4
1/6/1960,4
1/13/1960,4
1/20/1960,4
1/27/1960,3.96
2/3/1960,4
2/10/1960,3.96
2/17/1960,4
2/24/1960,3.89
3/2/1960,4
3/9/1960,3.96
3/16/1960,3.96
3/23/1960,3.54
3/30/1960,3.82
4/6/1960,3.93
