Date,T_Rate
7/17/1959,4.51
7/24/1959,4.35
7/31/1959,4.23
8/7/1959,4.19
8/14/1959,4.19
8/21/1959,4.34
8/28/1959,4.44
9/4/1959,4.64
9/11/1959,4.72
9/18/1959,4.95
9/25/1959,4.83
10/2/1959,4.95
10/9/1959,4.69
10/16/1959,4.82
10/23/1959,4.66
10/30/1959,4.54
11/6/1959,4.42
11/13/1959,4.43
11/20/1959,4.55
11/27/1959,4.66
12/4/1959,4.98
12/11/1959,4.97
12/18/1959,4.96
12/25/1959,5.01
1/1/1960,5.03
1/8/1960,5.15
1/15/1960,4.96
1/22/1960,4.92
1/29/1960,4.76
2/5/1960,4.56
2/12/1960,4.41
2/19/1960,4.41
2/26/1960,4.39
3/4/1960,4.31
3/11/1960,3.97
3/18/1960,3.56
3/25/1960,3.27
4/1/1960,3.32
4/8/1960,3.3
4/15/1960,3.91
4/22/1960,4.17
4/29/1960,4.08
5/6/1960,4.01
5/13/1960,4.05
5/20/1960,4.09
5/27/1960,3.95
6/3/1960,3.57
6/10/1960,3.23
6/17/1960,2.9
6/24/1960,3.04
7/1/1960,2.95
7/8/1960,3.03
7/15/1960,3.07
7/22/1960,3.12
7/29/1960,2.92
8/5/1960,2.81
8/12/1960,2.79
8/19/1960,2.83
8/26/1960,2.81
9/2/1960,2.87
9/9/1960,2.87
9/16/1960,2.89
9/23/1960,2.82
9/30/1960,2.87
10/7/1960,2.93
10/14/1960,2.96
10/21/1960,2.99
10/28/1960,2.86
11/4/1960,2.82
11/11/1960,2.85
11/18/1960,2.91
11/25/1960,2.87
12/2/1960,2.86
12/9/1960,2.77
12/16/1960,2.63
12/23/1960,2.56
12/30/1960,2.51
1/6/1961,2.56
1/13/1961,2.57
1/20/1961,2.71
1/27/1961,2.66
2/3/1961,2.68
2/10/1961,2.71
2/17/1961,2.73
2/24/1961,2.83
3/3/1961,2.86
3/10/1961,2.76
3/17/1961,2.71
3/24/1961,2.71
3/31/1961,2.78
4/7/1961,2.75
4/14/1961,2.68
4/21/1961,2.77
4/28/1961,2.76
5/5/1961,2.69
5/12/1961,2.66
5/19/1961,2.7
5/26/1961,2.8
6/2/1961,2.83
6/9/1961,2.83
6/16/1961,2.78
6/23/1961,2.78
6/30/1961,2.77
7/7/1961,2.8
7/14/1961,2.72
7/21/1961,2.81
7/28/1961,2.83
8/4/1961,2.85
8/11/1961,2.93
8/18/1961,2.95
8/25/1961,2.89
9/1/1961,2.9
9/8/1961,2.89
9/15/1961,2.88
9/22/1961,2.87
9/29/1961,2.87
10/6/1961,2.83
10/13/1961,2.85
10/20/1961,2.97
10/27/1961,2.94
11/3/1961,2.88
11/10/1961,2.87
11/17/1961,2.93
11/24/1961,2.91
12/1/1961,2.91
12/8/1961,2.97
12/15/1961,2.97
12/22/1961,2.95
12/29/1961,3.02
1/5/1962,3.07
1/12/1962,3.12
1/19/1962,3.27
1/26/1962,3.25
2/2/1962,3.26
2/9/1962,3.24
2/16/1962,3.26
2/23/1962,3.19
3/2/1962,3.1
3/9/1962,3.05
3/16/1962,3.02
3/23/1962,2.93
3/30/1962,2.9
4/6/1962,2.86
4/13/1962,2.86
4/20/1962,2.95
4/27/1962,2.95
5/4/1962,2.94
5/11/1962,2.9
5/18/1962,2.91
5/25/1962,2.92
6/1/1962,2.89
6/8/1962,2.86
6/15/1962,2.86
6/22/1962,2.88
6/29/1962,2.97
7/6/1962,3.06
7/13/1962,3.12
7/20/1962,3.26
7/27/1962,3.22
8/3/1962,3.19
8/10/1962,3.19
8/17/1962,3.11
8/24/1962,3.04
8/31/1962,3.02
9/7/1962,3.05
9/14/1962,3
9/21/1962,2.98
9/28/1962,2.93
10/5/1962,2.9
10/12/1962,2.87
10/19/1962,2.92
10/26/1962,2.91
11/2/1962,2.9
11/9/1962,2.92
11/16/1962,2.94
11/23/1962,2.95
11/30/1962,2.97
12/7/1962,2.94
12/14/1962,2.93
12/21/1962,2.94
12/28/1962,2.95
1/4/1963,2.95
1/11/1963,2.96
1/18/1963,3
1/25/1963,3.03
2/1/1963,3.02
2/8/1963,3.02
2/15/1963,3.01
2/22/1963,2.99
3/1/1963,2.98
3/8/1963,2.97
3/15/1963,2.95
3/22/1963,2.97
3/29/1963,2.99
4/5/1963,2.99
4/12/1963,3
4/19/1963,3.07
4/26/1963,3.05
5/3/1963,3.05
5/10/1963,3.04
5/17/1963,3.04
5/24/1963,3.06
5/31/1963,3.09
6/7/1963,3.12
6/14/1963,3.11
6/21/1963,3.11
6/28/1963,3.11
7/5/1963,3.17
7/12/1963,3.39
7/19/1963,3.48
7/26/1963,3.47
8/2/1963,3.46
8/9/1963,3.48
8/16/1963,3.5
8/23/1963,3.52
8/30/1963,3.54
9/6/1963,3.57
9/13/1963,3.57
9/20/1963,3.58
9/27/1963,3.56
10/4/1963,3.59
10/11/1963,3.6
10/18/1963,3.61
10/25/1963,3.62
11/1/1963,3.6
11/8/1963,3.68
11/15/1963,3.69
11/22/1963,3.67
11/29/1963,3.66
12/6/1963,3.69
12/13/1963,3.68
12/20/1963,3.69
12/27/1963,3.69
1/3/1964,3.7
1/10/1964,3.72
1/17/1964,3.69
1/24/1964,3.66
1/31/1964,3.65
2/7/1964,3.65
2/14/1964,3.7
2/21/1964,3.71
2/28/1964,3.76
3/6/1964,3.78
3/13/1964,3.78
3/20/1964,3.77
3/27/1964,3.8
4/3/1964,3.77
4/10/1964,3.77
4/17/1964,3.78
4/24/1964,3.74
5/1/1964,3.69
5/8/1964,3.72
5/15/1964,3.71
5/22/1964,3.71
5/29/1964,3.7
6/5/1964,3.71
6/12/1964,3.71
6/19/1964,3.71
6/26/1964,3.68
7/3/1964,3.68
7/10/1964,3.67
7/17/1964,3.63
7/24/1964,3.65
7/31/1964,3.61
8/7/1964,3.65
8/14/1964,3.66
8/21/1964,3.67
8/28/1964,3.67
9/4/1964,3.7
9/11/1964,3.72
9/18/1964,3.74
9/25/1964,3.74
10/2/1964,3.77
10/9/1964,3.8
10/16/1964,3.8
10/23/1964,3.8
10/30/1964,3.77
11/6/1964,3.79
11/13/1964,3.79
11/20/1964,3.8
11/27/1964,4
12/4/1964,4.02
12/11/1964,3.96
12/18/1964,3.94
12/25/1964,3.94
1/1/1965,3.93
1/8/1965,3.92
1/15/1965,3.9
1/22/1965,3.9
1/29/1965,3.91
2/5/1965,3.97
2/12/1965,3.99
2/19/1965,4.02
2/26/1965,4.04
3/5/1965,4.05
3/12/1965,4.04
3/19/1965,4
3/26/1965,3.99
4/2/1965,4.01
4/9/1965,4
4/16/1965,4
4/23/1965,4
4/30/1965,3.98
