Date,Open,High,Low,Close,Adj_Close,Volume
"Nov 01, 2021",178.53,179.74,177.51,179.58,179.58,"2,010,500"
"Oct 29, 2021",179.71,180.91,178.12,178.68,178.68,"2,559,500"
"Oct 28, 2021",178.25,180.01,178.24,179.87,179.87,"1,944,900"
"Oct 27, 2021",182.27,182.34,178.08,178.24,178.24,"2,627,000"
"Oct 26, 2021",181.07,183.82,179.17,182.16,182.16,"3,135,600"
"Oct 25, 2021",180.50,182.95,179.45,182.40,182.40,"2,705,100"
"Oct 22, 2021",182.57,183.29,180.78,180.80,180.80,"2,630,900"
"Oct 21, 2021",182.85,183.03,180.52,182.12,182.12,"1,661,000"
"Oct 20, 2021",182.59,183.18,182.04,182.42,182.42,"1,788,500"
"Oct 19, 2021",182.44,182.85,181.64,182.31,182.31,"1,394,100"
"Oct 18, 2021",180.79,181.92,179.34,181.72,181.72,"1,753,300"
"Oct 15, 2021",180.69,183.00,180.68,181.94,181.94,"2,160,800"
"Oct 14, 2021",178.00,180.40,177.95,180.32,180.32,"2,279,200"
"Oct 13, 2021",175.61,178.40,175.04,177.17,177.17,"2,030,500"
"Oct 12, 2021",176.30,176.89,175.13,175.53,175.53,"2,155,900"
"Oct 11, 2021",178.02,178.60,176.20,176.28,176.28,"2,691,100"
"Oct 08, 2021",177.57,178.10,176.78,176.95,176.95,"2,469,500"
"Oct 07, 2021",180.00,180.78,177.70,177.80,177.80,"2,878,100"
"Oct 06, 2021",176.63,178.55,175.52,178.40,178.40,"2,057,600"
"Oct 05, 2021",176.18,178.61,175.57,177.88,177.88,"1,888,300"
"Oct 04, 2021",174.15,177.10,173.78,176.04,176.04,"3,010,100"
"Oct 01, 2021",176.25,177.41,174.22,176.68,176.68,"2,419,300"
"Sep 30, 2021",181.72,182.06,175.37,175.42,175.42,"3,235,600"
"Sep 29, 2021",179.92,181.39,179.17,180.88,180.88,"1,674,800"
"Sep 28, 2021",181.82,182.85,179.77,180.05,180.05,"2,290,400"
"Sep 27, 2021",180.83,183.16,180.81,181.79,181.79,"2,052,100"
"Sep 24, 2021",181.50,182.07,180.62,181.04,181.04,"2,076,900"
"Sep 23, 2021",180.15,182.85,180.00,181.53,181.53,"2,186,500"
"Sep 22, 2021",179.31,180.95,178.94,179.84,179.84,"2,220,800"
"Sep 21, 2021",180.97,181.08,177.70,178.42,178.42,"2,980,100"
"Sep 20, 2021",178.64,181.74,178.29,180.53,180.53,"4,152,100"
"Sep 17, 2021",181.09,182.66,179.41,181.49,181.49,"10,719,300"
"Sep 16, 2021",184.15,184.60,181.82,182.66,182.66,"2,553,600"
"Sep 15, 2021",182.82,185.11,182.33,184.19,184.19,"2,554,500"
"Sep 14, 2021",185.65,186.00,181.68,182.42,182.42,"3,324,100"
"Sep 13, 2021",185.30,187.92,183.60,185.23,185.23,"5,046,500"
"Sep 10, 2021",186.86,187.23,184.50,184.55,184.55,"2,230,500"
"Sep 09, 2021",187.54,188.51,185.06,185.75,185.75,"3,038,500"
"Sep 08, 2021",185.64,188.40,185.02,187.89,187.89,"3,657,300"
"Sep 07, 2021",192.92,194.57,185.56,185.58,185.58,"5,882,300"
"Sep 03, 2021",194.46,195.61,193.63,194.39,194.39,"1,464,500"
"Sep 02, 2021",194.07,194.92,193.47,194.89,194.89,"2,094,500"
"Sep 01, 2021",194.55,194.75,192.94,193.44,193.44,"1,925,400"
"Aug 31, 2021",195.85,195.99,194.15,194.74,194.74,"2,813,900"
"Aug 30, 2021",195.18,197.29,194.77,196.17,196.17,"1,263,900"
"Aug 27, 2021",196.00,196.66,194.12,195.05,195.05,"2,146,500"
"Aug 26, 2021",194.19,195.39,193.66,195.32,195.32,"1,457,300"
"Aug 25, 2021",194.52,195.05,192.72,194.34,194.34,"1,612,600"
"Aug 24, 2021",194.82,196.10,194.34,194.75,194.75,"1,392,400"
"Aug 23, 2021",195.00,196.24,193.68,194.68,194.68,"1,974,300"
"Aug 20, 2021",194.34,195.13,193.37,194.16,194.16,"2,396,800"
"Aug 19, 2021",195.00,196.23,194.31,195.36,193.88,"2,312,800"
"Aug 18, 2021",198.57,198.81,196.31,196.51,195.02,"2,116,100"
"Aug 17, 2021",202.00,202.00,197.60,199.55,198.04,"2,287,900"
"Aug 16, 2021",201.09,202.77,200.38,202.32,200.79,"1,607,000"
"Aug 13, 2021",201.23,201.71,200.29,200.58,199.06,"1,910,700"
"Aug 12, 2021",201.48,202.37,200.36,201.43,199.90,"1,231,800"
